Region,Pol,Obrazovanje,Radni status,Nacionalnost,Mesto stanovanja,Starost kategorija,independent_summary
Južna i Istočna Srbija,Muško,Dvogodišnja ili trogodišnja srednja škola,Penzioner,srpska ,Selo (Ruralno naselje),Više od 70,"Ispitanik koristi kablovsku televiziju i internet usluge, ali ne koristi zemaljsku antenu, radio, niti striming aplikacije. Provodi 500 minuta dnevno gledajući televiziju, dok informativne portale i društvene mreže prati po 30 minuta. Najčešće prati regionalnu ili lokalnu TV stanicu, ali nema poverenja u medije. Kombinuje više medija za pronalaženje sadržaja, a najčešće se oslanja na kablovske TV stanice i internet portale. Zainteresovan je za razne medijske teme, ali ne prati specifične žanrove. Smatra da su štetni sadržaji u medijima prisutni, ali ne može da proceni njihovu zastupljenost."
Zapadna Srbija sa Šumadijom,Žensko,Visoka  škola ili fakultet,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Selo (Ruralno naselje),40 do 49,"Ispitanik koristi kablovsku televiziju kao primarni medij, provodeći 120 minuta dnevno gledajući TV, dok internet portale prati 60 minuta. Ne koristi zemaljsku antenu, striming aplikacije ili radio. Najčešće prati TV stanice sa nacionalnom pokrivenošću i Facebook kao društvenu mrežu. Ispitanik nema poverenja u većinu medija, a najviše štetnih sadržaja primećuje na televiziji, posebno u Informeru. Zainteresovan je za dokumentarne i sportske programe, dok informativne teme ne smatra zanimljivim. Kombinuje više medija za pronalaženje sadržaja, a preferira internet portale koji nude dokumentarne i sportske sadržaje."
Beograd,Žensko,Četvorogodišnja srednja škola,Učenik/Student,srpska ,Grad (Urbano naselje),18 do 29,"Ispitanik ne koristi zemaljsku i kablovsku televiziju, već se oslanja na internet usluge i striming aplikacije, posebno Netflix, provodeći 259 minuta dnevno na striming servisima i po 60 minuta na društvenim mrežama. Najčešće koristi TikTok, smatra ga objektivnim, ali ne veruje u sve medije. Zainteresovan je za razne medijske teme, ali ne prati informativne programe. Kombinuje više medija za pronalaženje sadržaja, a svakodnevno koristi internet portale i društvene mreže. Ne zna koliko su štetni sadržaji zastupljeni u medijima."
Beograd,Muško,Dvogodišnja ili trogodišnja srednja škola,Penzioner,srpska ,Grad (Urbano naselje),60 do 69,"Ispitanik koristi kablovsku televiziju kao primarni izvor medijskih sadržaja, provodeći 240 minuta dnevno gledajući televiziju i 60 minuta na informativnim internet portalima. Ne koristi zemaljsku antenu, striming aplikacije, društvene mreže ili radio. Ima neutralan stav prema poverenju u medije, a najčešće prati vesti i dokumentarne filmove. Zainteresovan je za informativne i sportske programe, dok rijaliti i dečiji program ne prati. Medijske sadržaje pronalazi isključivo preko televizije, smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na TV Happy."
Beograd,Muško,Četvorogodišnja srednja škola,Penzioner,srpska ,Grad (Urbano naselje),60 do 69,"Ispitanik koristi kablovsku televiziju kao primarni medij, provodeći 200 minuta dnevno uz televiziju i 300 minuta uz radio. Internet portale i društvene mreže koristi minimalno (20 minuta). Ima veoma malo poverenja u sve vrste medija, posebno u televiziju, gde smatra da su štetni sadržaji veoma zastupljeni, posebno na kanalu Pink. Najčešće prati informativne programe i putopise, dok zabavne sadržaje gleda osrednje, favorizujući kvizove. Kombinuje više medija za pronalaženje sadržaja, a najviše se oslanja na radio i internet portale."
Beograd,Žensko,Visoka  škola ili fakultet,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),30 do 39,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku televiziju, striming aplikacije i informativne internet portale. Najčešće provodi 120 minuta dnevno gledajući televiziju i 240 minuta na društvenim mrežama, posebno Facebook-u, kojem ne pridaje poverenje. Ispitanik kombinuje više medija za pronalaženje sadržaja, a najčešće prati vesti i šou programe. Smatra da su štetni sadržaji veoma zastupljeni, posebno u štampanim medijima, i izražava sumnju u poverenje prema većini medijskih kanala."
Zapadna Srbija sa Šumadijom,Žensko,Visoka  škola ili fakultet,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),40 do 49,"Ispitanik koristi zemaljsku i kablovsku televiziju, internet usluge, kao i striming aplikacije, pri čemu najčešće koristi striming servise (200 minuta dnevno). Vreme provedeno na društvenim mrežama iznosi 60 minuta, a najviše prati Facebook. Ispitanik nema poverenja u većinu tradicionalnih medija, dok ima poverenje u društvene mreže, posebno Facebook i YouTube. Zainteresovan je za kulturno-umetnički program i dokumentarne filmove, dok ne prati zabavni i dečiji program. Smatra da su štetni sadržaji veoma zastupljeni, posebno na televiziji, a najviše ih primećuje na mediju Pink."
Južna i Istočna Srbija,Žensko,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),40 do 49,"Ispitanik koristi zemaljsku i kablovsku televiziju, kao i internet usluge, dok ne koristi striming aplikacije. Najčešće koristi društvene mreže, posebno Instagram, na kojima provodi 180 minuta dnevno. Ima poverenje u kablovske i specijalizovane informativne kanale, dok ne veruje u TV stanice i štampane medije. Prati informativno-dokumentarne i humorističke programe, kao i dečije sadržaje. Kombinuje više medija za pronalaženje sadržaja, a najviše štetnih sadržaja primećuje na televiziji, posebno u mediju Kurir. Zainteresovan je za sadržaje vezane za dečije i verske programe."
Južna i Istočna Srbija,Muško,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),40 do 49,"Ispitanik koristi zemaljsku i kablovsku televiziju, kao i internet usluge, dok ne koristi striming aplikacije. Najčešće prati TV stanice sa nacionalnom pokrivenošću, provodeći 40 minuta dnevno uz televiziju i 90 minuta na društvenim mrežama. Ima poverenje u kablovske i štampane medije, dok je umeren prema TV stanicama. Prati informativno-zabavne programe i sportske sadržaje, a najviše koristi više medija za pronalaženje sadržaja. Zainteresovan je za informativne i dečije programe, dok smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno u mediju Informer."
Zapadna Srbija sa Šumadijom,Muško,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),50 do 59,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu i striming aplikacije. Najčešće prati informativne internet portale i društvene mreže, provodeći 90 minuta dnevno na društvenim mrežama i 60 minuta na internet portalima. Ima poverenje u YouTube, dok ne veruje u većinu tradicionalnih medija. Prati dokumentarne i naučno-obrazovne programe, kao i sportske sadržaje. Kombinuje više medija za pronalaženje sadržaja, a najviše štetnih sadržaja primećuje na televiziji, posebno na kanalu Pink. Zainteresovan je za medij koji bi pokrivao dokumentarne, naučno-obrazovne i muzičke sadržaje."
Vojvodina,Muško,Magistratura/doktorat,Nezaposlen (radno sposoban),srpska ,Grad (Urbano naselje),50 do 59,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu i striming aplikacije. Najčešće prati kablovske TV stanice i Netflix, provodeći 120 minuta dnevno uz televiziju i 100 minuta uz striming servise. Ima nisko poverenje u većinu medija, smatrajući da su štetni sadržaji veoma zastupljeni, posebno na televiziji. Zainteresovan je za informativne programe i strane filmove, dok zabavne i dečije programe ne prati. Kombinuje više medija za pronalaženje sadržaja, a najviše štetnih informacija primetio je u mediju Kurir."
Vojvodina,Muško,Visoka  škola ili fakultet,Zaposlen kod privatnika,ne želi da odgovori,Grad (Urbano naselje),18 do 29,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, pri čemu najčešće koristi YouTube. Dnevno provodi 30 minuta uz televiziju, 300 minuta uz radio, 60 minuta na informativnim portalima, 60 minuta na društvenim mrežama i 120 minuta na striming servisima. Ima poverenje u kablovske TV stanice, radio stanice i internet portale, dok ne veruje u nacionalne TV stanice. Zainteresovan je za informativne, naučno-obrazovne, kulturne i filmske sadržaje. Medijske sadržaje pronalazi isključivo preko YouTube-a, a primećuje visoku zastupljenost štetnih sadržaja, posebno na TikToku."
Zapadna Srbija sa Šumadijom,Žensko,Završena osnovna škola ili manje,Penzioner,srpska ,Selo (Ruralno naselje),60 do 69,"Ispitanik koristi zemaljsku antenu za gledanje televizije, dok ne koristi kablovsku televiziju, striming aplikacije ili internet portale. Dnevno provodi 600 minuta uz televiziju i 800 minuta uz radio, sa posebnim poverenjem u TV stanice kao što su RTS i Pink. Najčešće prati zabavne i rijaliti programe, kao i domaće serije. Medijske sadržaje pronalazi isključivo preko Pinka, koji smatra jednim od svojih glavnih izvora informacija. Ispitanik ne pokazuje interesovanje za dokumentarne, kulturne ili sportske programe, a ne može da proceni zastupljenost štetnih sadržaja u medijima."
Vojvodina,Žensko,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),30 do 39,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, pri čemu najčešće prati sadržaje na TikToku. Dnevno provodi 100 minuta na televiziji, 100 minuta na društvenim mrežama i 100 minuta na striming servisima. Ne veruje u većinu medija, uključujući TV stanice i internet portale, dok smatra da su štetni sadržaji najzastupljeniji na televiziji. Zainteresovan je za zabavni, dečiji, filmski i serijski program, dok ne prati informativne i dokumentarne sadržaje. Kombinuje više medija kako bi pronašao relevantne informacije, a smatra da su štetni sadržaji veoma prisutni."
Zapadna Srbija sa Šumadijom,Muško,Četvorogodišnja srednja škola,Učenik/Student,srpska ,Grad (Urbano naselje),18 do 29,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, pri čemu najčešće prati sadržaje na platformama poput Netflixa. Dnevno provodi 90 minuta gledajući televiziju, 60 minuta slušajući radio, 120 minuta na društvenim mrežama i 180 minuta na striming servisima. Ima poverenje u društvene mreže, posebno TikTok i Instagram, dok ne veruje u tradicionalne medije. Kombinuje više medija za pronalaženje sadržaja, a najčešće prati YouTube. Zainteresovan je za filmski i serijski program, dok je za informativne teme izrazio minimalno interesovanje. Smatra da su štetni sadržaji najzastupljeniji na televiziji."
Zapadna Srbija sa Šumadijom,Žensko,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),30 do 39,"Ispitanik koristi kablovsku televiziju kao primarnu medijsku uslugu, uz internet i striming aplikacije. Dnevno provodi 150 minuta na društvenim mrežama, 150 minuta na televiziji i 120 minuta na informativnim portalima. Najčešće prati Instagram, ali nema poverenja u većinu medija, osim u Instagram. Zainteresovan je za filmski i serijski program, kao i za informativno-dokumentarne sadržaje. Kombinuje više medija za pronalaženje sadržaja, a štampane novine smatra najproblematičnijim u pogledu dezinformacija. Uočava prisutnost štetnih sadržaja u medijima."
Vojvodina,Muško,Visoka  škola ili fakultet,Penzioner,srpska ,Grad (Urbano naselje),60 do 69,"Ispitanik koristi zemaljsku antenu za gledanje televizije i internet usluge, dok ne koristi kablovsku televiziju, striming aplikacije niti društvene mreže. Dnevno provodi 300 minuta uz televiziju, 100 minuta uz radio i 60 minuta na informativnim internet portalima. Ima poverenje u nacionalne i regionalne TV stanice, dok ne može da proceni poverenje u kablovske i specijalizovane informativne kanale. Najčešće prati RTS i prenose sednica organa javne vlasti. Zainteresovan je za informativne, zabavne, verske i muzičke programe, a smatra da su štetni sadržaji veoma zastupljeni, posebno na televiziji."
Južna i Istočna Srbija,Žensko,Četvorogodišnja srednja škola,Učenik/Student,srpska ,Selo (Ruralno naselje),18 do 29,"Ispitanik koristi internet usluge kao primarni medij, provodeći 30 minuta dnevno na informativnim portalima i 200 minuta na društvenim mrežama, posebno Instagramu, kojem ima poverenja. Ne koristi kablovsku televiziju, zemaljsku antenu niti striming servise. Zainteresovan je za dokumentarne, naučno-obrazovne i filmske sadržaje, dok ne prati zabavne, sportske ili dečije programe. Iako ne zna koliko su štetni sadržaji zastupljeni u medijima, smatra da je poverenje u Instagram ključno za njegov izbor medija. U prethodnoj nedelji redovno je koristio Instagram i TikTok, dok je štampane medije i internet portale koristio sporadično."
Zapadna Srbija sa Šumadijom,Žensko,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),30 do 39,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu i striming aplikacije. Najčešće prati radio, provodeći 90 minuta dnevno uz njega, dok televiziju gleda 30 minuta. Ima poverenje u lokalne radio stanice i društvene mreže poput YouTube-a, dok ne veruje u većinu TV stanica i štampanih medija. Prati informativne sadržaje specijalizovanih kanala i dokumentarne putopise. Preferira sadržaje o filmovima i muzici, a najčešće koristi YouTube za pronalaženje medijskih sadržaja. Smatra da su štetni sadržaji najzastupljeniji na internet portalima, posebno na mediju Pink."
Vojvodina,Žensko,Četvorogodišnja srednja škola,Nezaposlen (radno sposoban),mađarska,Grad (Urbano naselje),40 do 49,"Ispitanik koristi internet usluge, ali ne koristi kablovsku televiziju, zemaljsku antenu ili striming aplikacije. Najčešće prati TV stanice sa nacionalnom pokrivenošću, provodeći 60 minuta dnevno uz televiziju i 45 minuta uz društvene mreže. Poverenje u medije je osrednje, a najčešće prati RTS. Razlozi za izbor medija uključuju pravovremene informacije i poverenje, dok bi promene formata sadržaja i kašnjenje sa informacijama mogli uticati na prestanak praćenja. Kombinuje više medija za pronalaženje sadržaja, a štetni sadržaji u medijima se ne smatraju prisutnim."
Zapadna Srbija sa Šumadijom,Žensko,Dvogodišnja ili trogodišnja srednja škola,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Grad (Urbano naselje),40 do 49,"Ispitanik koristi zemaljsku antenu za gledanje televizije i internet usluge, dok ne koristi kablovsku televiziju, striming aplikacije niti radio. Dnevno provodi 240 minuta uz televiziju i 60 minuta na društvenim mrežama, posebno Facebook-u i YouTube-u. Ispitanik nema poverenja u većinu medija, uključujući TV stanice i internet portale, a smatra da su štetni sadržaji veoma zastupljeni, posebno na televiziji. Najčešće prati vesti i putopise, dok zabavni programi, posebno humorističke emisije, privlače njegovu pažnju. Kombinuje više medija kako bi pronašao sadržaje koji ga zanimaju."
